Site,Individual,Origin,Treatment,LocMax,BodyMass
Asch,AS_lei_la_0001,non-roadside,noisy,7193,0.084
Asch,AS_lei_la_0001,non-roadside,noisy,7239,0.084
Asch,AS_lei_la_0001,non-roadside,noisy,7358,0.084
Asch,AS_Lei_la_0002,non-roadside,noisy,8958,0.086
Asch,AS_Lei_la_0002,non-roadside,noisy,8452,0.086
Asch,AS_Lei_la_0002,non-roadside,noisy,8958,0.086
Asch,AS_Lei_la_0003,non-roadside,noisy,7479,0.087
Asch,AS_Lei_la_0003,non-roadside,noisy,7137,0.087
Asch,AS_Lei_la_0003,non-roadside,noisy,7185,0.087
Asch,AS_Lei_la_0004,non-roadside,noisy,7536,0.085
Asch,AS_Lei_la_0004,non-roadside,noisy,6892,0.085
Asch,AS_Lei_la_0004,non-roadside,noisy,6986,0.085
Asch,AS_Lei_la_0005,non-roadside,noisy,7019,0.102
Asch,AS_Lei_la_0005,non-roadside,noisy,7174,0.102
Asch,AS_Lei_la_0005,non-roadside,noisy,7302,0.102
Asch,AS_Lei_la_0006,non-roadside,noisy,6370,0.114
Asch,AS_Lei_la_0006,non-roadside,noisy,6380,0.114
Asch,AS_Lei_la_0006,non-roadside,noisy,6354,0.114
Asch,AS_Lei_la_0006,non-roadside,noisy,6380,0.114
Asch,AS_Lei_la_0007,non-roadside,noisy,6489,0.094
Asch,AS_Lei_la_0007,non-roadside,noisy,6447,0.094
Asch,AS_Lei_la_0007,non-roadside,noisy,6560,0.094
Asch,AS_Lei_lei_0001,non-roadside,quiet,7004,0.087
Asch,AS_Lei_lei_0001,non-roadside,quiet,6893,0.087
Asch,AS_Lei_lei_0001,non-roadside,quiet,6960,0.087
Asch,AS_Lei_lei_0002,non-roadside,quiet,6075,0.091
Asch,AS_Lei_lei_0002,non-roadside,quiet,6239,0.091
Asch,AS_Lei_lei_0002,non-roadside,quiet,6482,0.091
Asch,AS_Lei_lei_0002,non-roadside,quiet,6233,0.091
Asch,AS_Lei_lei_0003,non-roadside,quiet,6742,0.09
Asch,AS_Lei_lei_0003,non-roadside,quiet,6395,0.09
Asch,AS_Lei_lei_0003,non-roadside,quiet,6229,0.09
Asch,AS_Lei_lei_0004,non-roadside,quiet,7111,0.1
Asch,AS_Lei_lei_0004,non-roadside,quiet,6883,0.1
Asch,AS_Lei_lei_0004,non-roadside,quiet,6819,0.1
Asch,AS_Lei_lei_0005,non-roadside,quiet,6613,0.097
Asch,AS_Lei_lei_0005,non-roadside,quiet,6628,0.097
Asch,AS_Lei_lei_0005,non-roadside,quiet,6410,0.097
Asch,AS_Lei_lei_0006,non-roadside,quiet,7602,0.099
Asch,AS_Lei_lei_0006,non-roadside,quiet,7472,0.099
Asch,AS_Lei_lei_0006,non-roadside,quiet,7760,0.099
Asch,AS_Lei_lei_0007,non-roadside,quiet,6841,0.083
Asch,AS_Lei_lei_0007,non-roadside,quiet,6725,0.083
Asch,AS_Lei_lei_0007,non-roadside,quiet,6994,0.083
Asch,AS_Lei_lei_0008,non-roadside,quiet,7058,0.081
Asch,AS_Lei_lei_0008,non-roadside,quiet,7010,0.081
Asch,AS_Lei_lei_0008,non-roadside,quiet,6914,0.081
BadE,BA_La_la_0001,roadside,noisy,7562,0.107
BadE,BA_La_la_0001,roadside,noisy,7485,0.107
BadE,BA_La_la_0001,roadside,noisy,7606,0.107
BadE,BA_La_la_0002,roadside,noisy,6849,0.098
BadE,BA_La_la_0002,roadside,noisy,6809,0.098
BadE,BA_La_la_0002,roadside,noisy,6894,0.098
BadE,BA_La_la_0003,roadside,noisy,7082,0.097
BadE,BA_La_la_0003,roadside,noisy,6651,0.097
BadE,BA_La_la_0003,roadside,noisy,7028,0.097
BadE,BA_La_la_0004,roadside,noisy,6925,0.109
BadE,BA_La_la_0004,roadside,noisy,6751,0.109
BadE,BA_La_la_0004,roadside,noisy,6796,0.109
BadE,BA_La_la_0005,roadside,noisy,7115,0.092
BadE,BA_La_la_0005,roadside,noisy,7074,0.092
BadE,BA_La_la_0005,roadside,noisy,7067,0.092
BadE,BA_La_la_0006,roadside,noisy,8992,0.091
BadE,BA_La_la_0006,roadside,noisy,9026,0.091
BadE,BA_La_la_0006,roadside,noisy,8860,0.091
BadE,BA_La_la_0007,roadside,noisy,6830,0.115
BadE,BA_La_la_0007,roadside,noisy,6204,0.115
BadE,BA_La_la_0007,roadside,noisy,7064,0.115
BadE,BA_La_la_0008,roadside,noisy,6640,0.091
BadE,BA_La_la_0008,roadside,noisy,6599,0.091
BadE,BA_La_la_0008,roadside,noisy,6618,0.091
BadE,BA_La_la_0009,roadside,noisy,6987,0.109
BadE,BA_La_la_0009,roadside,noisy,6743,0.109
BadE,BA_La_la_0009,roadside,noisy,6936,0.109
BadE,BA_La_la_0010,roadside,noisy,6799,0.084
BadE,BA_La_la_0010,roadside,noisy,6703,0.084
BadE,BA_La_la_0010,roadside,noisy,6764,0.084
BadE,BA_La_lei_0001,roadside,quiet,6874,0.103
BadE,BA_La_lei_0001,roadside,quiet,6397,0.103
BadE,BA_La_lei_0002,roadside,quiet,7104,0.087
BadE,BA_La_lei_0002,roadside,quiet,7241,0.087
BadE,BA_La_lei_0002,roadside,quiet,7092,0.087
BadE,BA_La_lei_0003,roadside,quiet,8810,0.099
BadE,BA_La_lei_0003,roadside,quiet,8179,0.099
BadE,BA_La_lei_0003,roadside,quiet,8110,0.099
BadE,BA_La_lei_0004,roadside,quiet,5440,0.117
BadE,BA_La_lei_0004,roadside,quiet,5568,0.117
BadE,BA_La_lei_0005,roadside,quiet,6998,0.101
BadE,BA_La_lei_0005,roadside,quiet,7009,0.101
BadE,BA_La_lei_0004,roadside,quiet,5436,0.117
BadE,BA_La_lei_0006,roadside,quiet,6862,0.104
BadE,BA_La_lei_0006,roadside,quiet,6819,0.104
BadE,BA_La_lei_0006,roadside,quiet,6943,0.104
BadE,BA_La_lei_0007,roadside,quiet,7015,0.093
BadE,BA_La_lei_0007,roadside,quiet,6937,0.093
BadE,BA_La_lei_0007,roadside,quiet,6748,0.093
BadE,BA_Lei_la_0001,non-roadside,noisy,6584,0.095
BadE,BA_Lei_la_0001,non-roadside,noisy,6162,0.095
BadE,BA_Lei_la_0001,non-roadside,noisy,6876,0.095
BadE,BA_Lei_la_0002,non-roadside,noisy,7200,0.082
BadE,BA_Lei_la_0002,non-roadside,noisy,7218,0.082
BadE,BA_Lei_la_0003,non-roadside,noisy,7287,0.091
BadE,BA_Lei_la_0003,non-roadside,noisy,7191,0.091
BadE,BA_Lei_la_0003,non-roadside,noisy,6788,0.091
BadE,BA_Lei_la_0004,non-roadside,noisy,7779,0.1
BadE,BA_Lei_la_0004,non-roadside,noisy,7047,0.1
BadE,BA_Lei_la_0004,non-roadside,noisy,7830,0.1
BadE,BA_Lei_la_0005,non-roadside,noisy,6179,0.095
BadE,BA_Lei_la_0005,non-roadside,noisy,6154,0.095
BadE,BA_Lei_la_0005,non-roadside,noisy,6140,0.095
BadE,BA_Lei_la_0006,non-roadside,noisy,7186,0.103
BadE,BA_Lei_la_0006,non-roadside,noisy,6984,0.103
BadE,BA_Lei_lei_0001,non-roadside,quiet,7457,0.101
BadE,BA_Lei_lei_0001,non-roadside,quiet,7445,0.101
BadE,BA_Lei_lei_0001,non-roadside,quiet,8295,0.101
BadE,BA_Lei_lei_0001,non-roadside,quiet,7369,0.101
BadE,BA_Lei_lei_0002,non-roadside,quiet,6517,0.086
BadE,BA_Lei_lei_0002,non-roadside,quiet,6687,0.086
BadE,BA_Lei_lei_0002,non-roadside,quiet,6478,0.086
BadE,BA_Lei_lei_0003,non-roadside,quiet,6904,0.099
BadE,BA_Lei_lei_0003,non-roadside,quiet,6980,0.099
BadE,BA_Lei_lei_0003,non-roadside,quiet,7068,0.099
BadE,BA_Lei_lei_0004,non-roadside,quiet,6203,0.114
BadE,BA_Lei_lei_0004,non-roadside,quiet,6089,0.114
BadE,BA_Lei_lei_0004,non-roadside,quiet,6065,0.114
BadE,BA_Lei_lei_0004,non-roadside,quiet,6246,0.114
BadE,BA_Lei_lei_0005,non-roadside,quiet,6726,0.102
BadE,BA_Lei_lei_0005,non-roadside,quiet,6279,0.102
BadE,BA_Lei_lei_0006,non-roadside,quiet,6940,0.106
BadE,BA_Lei_lei_0006,non-roadside,quiet,6158,0.106
BadE,BA_Lei_lei_0008,non-roadside,quiet,6519,0.098
BadE,BA_Lei_lei_0008,non-roadside,quiet,6808,0.098
BadE,BA_Lei_lei_0008,non-roadside,quiet,6864,0.098
BadE,BA_Lei_lei_0010,non-roadside,quiet,7031,0.112
BadE,BA_Lei_lei_0010,non-roadside,quiet,7369,0.112
BadE,BA_Lei_lei_0010,non-roadside,quiet,6842,0.112
Beck,BE_La_la_0001,roadside,noisy,7148,0.094
Beck,BE_La_la_0001,roadside,noisy,7430,0.094
Beck,BE_La_la_0001,roadside,noisy,7221,0.094
Beck,BE_La_la_0002,roadside,noisy,9081,0.098
Beck,BE_La_la_0002,roadside,noisy,9075,0.098
Beck,BE_La_la_0002,roadside,noisy,8979,0.098
Beck,BE_La_la_0002,roadside,noisy,8863,0.098
Beck,BE_La_la_0003,roadside,noisy,6915,0.087
Beck,BE_La_la_0003,roadside,noisy,6962,0.087
Beck,BE_La_la_0003,roadside,noisy,6986,0.087
Beck,BE_La_la_0004,roadside,noisy,11042,0.093
Beck,BE_La_la_0004,roadside,noisy,11020,0.093
Beck,BE_La_la_0004,roadside,noisy,8694,0.093
Beck,BE_La_la_0004,roadside,noisy,9092,0.093
Beck,BE_La_la_0006,roadside,noisy,7102,0.1
Beck,BE_La_la_0006,roadside,noisy,6819,0.1
Beck,BE_La_la_0006,roadside,noisy,7265,0.1
Beck,BE_La_la_0006,roadside,noisy,7142,0.1
Beck,BE_La_la_0007,roadside,noisy,6762,0.109
Beck,BE_La_la_0007,roadside,noisy,6813,0.109
Beck,BE_La_la_0007,roadside,noisy,6722,0.109
Beck,BE_La_la_0008,roadside,noisy,7592,0.094
Beck,BE_La_la_0008,roadside,noisy,7342,0.094
Beck,BE_La_la_0008,roadside,noisy,7661,0.094
Beck,BE_La_la_0010,roadside,noisy,7679,0.079
Beck,BE_La_la_0010,roadside,noisy,7794,0.079
Beck,BE_La_la_0010,roadside,noisy,7317,0.079
Beck,BE_La_la_0010,roadside,noisy,7285,0.079
Beck,BE_La_la_0011,roadside,noisy,7931,0.093
Beck,BE_La_la_0011,roadside,noisy,7911,0.093
Beck,BE_La_la_0011,roadside,noisy,7238,0.093
Beck,BE_La_la_0012,roadside,noisy,7227,0.088
Beck,BE_La_la_0012,roadside,noisy,6687,0.088
Beck,BE_La_la_0012,roadside,noisy,6798,0.088
Beck,BE_La_lei_0001,roadside,quiet,6701,0.108
Beck,BE_La_lei_0001,roadside,quiet,7116,0.108
Beck,BE_La_lei_0001,roadside,quiet,7424,0.108
Beck,BE_La_lei_0002,roadside,quiet,7014,0.095
Beck,BE_La_lei_0002,roadside,quiet,7112,0.095
Beck,BE_La_lei_0002,roadside,quiet,7059,0.095
Beck,BE_La_lei_0003,roadside,quiet,7476,0.097
Beck,BE_La_lei_0003,roadside,quiet,7283,0.097
Beck,BE_La_lei_0003,roadside,quiet,7454,0.097
Beck,BE_La_lei_0004,roadside,quiet,7285,0.078
Beck,BE_La_lei_0004,roadside,quiet,7626,0.078
Beck,BE_La_lei_0004,roadside,quiet,7580,0.078
Beck,BE_La_lei_0005,roadside,quiet,8014,0.088
Beck,BE_La_lei_0005,roadside,quiet,7097,0.088
Beck,BE_La_lei_0005,roadside,quiet,7217,0.088
Beck,BE_La_lei_0006,roadside,quiet,7123,0.092
Beck,BE_La_lei_0006,roadside,quiet,7143,0.092
Beck,BE_La_lei_0006,roadside,quiet,6994,0.092
Beck,BE_La_lei_0007,roadside,quiet,7487,0.077
Beck,BE_La_lei_0007,roadside,quiet,7222,0.077
Beck,BE_La_lei_0007,roadside,quiet,7401,0.077
Beck,BE_La_lei_0008,roadside,quiet,6810,0.106
Beck,BE_La_lei_0008,roadside,quiet,6746,0.106
Beck,BE_La_lei_0008,roadside,quiet,6756,0.106
Beck,BE_La_lei_0009,roadside,quiet,7311,0.099
Beck,BE_La_lei_0009,roadside,quiet,7101,0.099
Beck,BE_La_lei_0009,roadside,quiet,7365,0.099
Beck,BE_La_lei_0010,roadside,quiet,11720,0.104
Beck,BE_La_lei_0010,roadside,quiet,11221,0.104
Beck,BE_La_lei_0011,roadside,quiet,8065,0.111
Beck,BE_La_lei_0011,roadside,quiet,8121,0.111
Beck,BE_La_lei_0011,roadside,quiet,7444,0.111
Beck,BE_La_lei_0012,roadside,quiet,6997,0.086
Beck,BE_La_lei_0012,roadside,quiet,7295,0.086
Beck,BE_La_lei_0012,roadside,quiet,7637,0.086
Beck,BE_La_lei_0013,roadside,quiet,9781,0.082
Beck,BE_La_lei_0013,roadside,quiet,11111,0.082
Beck,BE_La_lei_0013,roadside,quiet,9797,0.082
Biel,BI_La_la_0001,roadside,noisy,8513,0.096
Biel,BI_La_la_0001,roadside,noisy,8568,0.096
Biel,BI_La_la_0001,roadside,noisy,7823,0.096
Biel,BI_La_la_0002,roadside,noisy,7833,0.096
Biel,BI_La_la_0002,roadside,noisy,7100,0.096
Biel,BI_La_la_0002,roadside,noisy,7473,0.096
Biel,BI_La_la_0003,roadside,noisy,6852,0.097
Biel,BI_La_la_0003,roadside,noisy,6712,0.097
Biel,BI_La_la_0003,roadside,noisy,6759,0.097
Biel,BI_La_la_0004,roadside,noisy,8175,0.096
Biel,BI_La_la_0004,roadside,noisy,7037,0.096
Biel,BI_La_la_0004,roadside,noisy,7171,0.096
Biel,BI_La_la_0004,roadside,noisy,7075,0.096
Biel,BI_La_la_0005,roadside,noisy,7470,0.091
Biel,BI_La_la_0005,roadside,noisy,8235,0.091
Biel,BI_La_la_0006,roadside,noisy,6659,0.1
Biel,BI_La_la_0006,roadside,noisy,6393,0.1
Biel,BI_La_la_0006,roadside,noisy,6728,0.1
Biel,BI_La_la_0007,roadside,noisy,7460,0.099
Biel,BI_La_la_0007,roadside,noisy,7236,0.099
Biel,BI_La_la_0007,roadside,noisy,7161,0.099
Biel,BI_La_la_0008,roadside,noisy,7001,0.095
Biel,BI_La_la_0008,roadside,noisy,7138,0.095
Biel,BI_La_la_0010,roadside,noisy,7268,0.097
Biel,BI_La_la_0010,roadside,noisy,7162,0.097
Biel,BI_La_la_0011,roadside,noisy,6982,0.099
Biel,BI_La_la_0011,roadside,noisy,6706,0.099
Biel,BI_La_la_0011,roadside,noisy,6905,0.099
Biel,BI_La_lei_0001,roadside,quiet,7646,0.102
Biel,BI_La_lei_0001,roadside,quiet,7945,0.102
Biel,BI_La_lei_0001,roadside,quiet,7657,0.102
Biel,BI_La_lei_0002,roadside,quiet,6915,0.109
Biel,BI_La_lei_0002,roadside,quiet,6906,0.109
Biel,BI_La_lei_0002,roadside,quiet,6913,0.109
Biel,BI_La_lei_0003,roadside,quiet,8711,0.098
Biel,BI_La_lei_0003,roadside,quiet,8894,0.098
Biel,BI_La_lei_0003,roadside,quiet,8839,0.098
Biel,BI_La_lei_0005,roadside,quiet,7485,0.093
Biel,BI_La_lei_0005,roadside,quiet,7371,0.093
Biel,BI_La_lei_0005,roadside,quiet,7366,0.093
Biel,BI_La_lei_0006,roadside,quiet,7092,0.097
Biel,BI_La_lei_0006,roadside,quiet,6774,0.097
Biel,BI_La_lei_0006,roadside,quiet,6941,0.097
Biel,BI_La_lei_0007,roadside,quiet,7832,0.096
Biel,BI_La_lei_0007,roadside,quiet,7776,0.096
Biel,BI_La_lei_0007,roadside,quiet,7929,0.096
Biel,BI_La_lei_0007,roadside,quiet,8030,0.096
Biel,BI_La_lei_0008,roadside,quiet,7016,0.092
Biel,BI_La_lei_0008,roadside,quiet,7178,0.092
Biel,BI_La_lei_0008,roadside,quiet,7197,0.092
Biel,BI_La_lei_0009,roadside,quiet,6305,0.091
Biel,BI_La_lei_0009,roadside,quiet,6878,0.091
